id,question,answer
1,多くの事実が彼の無実を{シサ}している。,示唆
2,自己責任の原則が社会に{シントウ}している。,浸透
3,眼前に生き生きとしたイメージを{カンキ}させる。,喚起
4,言語は意思の伝達を{バイカイ}する手段である。,媒介
5,近代に科学は{ケンチョ}な進歩を遂げた。,顕著
6,外国人との交流が{ヒンパン}に行われる。,頻繁
7,霧で建物の{リンカク}がぼやけて見える。,輪郭
8,日本の現実を正しく{ハアク}した上で批判する。,把握
9,豊かな想像力を{クシ}して細部を描写する。,駆使
10,物事を{タンテキ}に言い表すように心がける。,端的
11,将来は医師になり、地域医療に{コウケン}したい。   ,貢献
12,警戒心から世間は{カジョウ}な拒絶反応を見せる。,過剰
13,最新の技術を用いて{ボウダイ}な富を生み出す。,膨大
14,理想を語ると幾多の困難に{ソウグウ}する。,遭遇
15,どんな時でも自己の能力を限界まで{ハッキ}する。,発揮
16,生態系の中で滞りなく水が{ジュンカン}する。,循環
17,余計なものを一切{ハイジョ}したデザインにする。,排除
18,途中で{ホウキ}することなく最後までやり抜く。,放棄
19,老朽化した建物が{ホウカイ}する恐れがある。,崩壊(崩潰)
20,利益の多くの部分を消費者に{カンゲン}する。,還元
21,心の空虚さや自己{ソウシツ}にあえぎ続けている。,喪失
22,古くからの学説に{イキョ}して新説を否定する。,依拠
23,問いかけを{ケイキ}として思考が動き始める。,契機
24,健康を{イジ}するために適度に体を動かす。,維持
25,選手全員が心から勝利を{カツボウ}している。,渇望
26,法の精神は{フヘン}的な価値を持っている。,普遍
27,{ヤッカイ}な問題がやっと解決しそうだ。,厄介
28,基本を{テッテイ}するのが上達の近道である。,徹底
29,生きていくために必要な知識を{カクトク}する。,獲得
30,浮かぬ気持ちで黙って景色を{ナガ}めている。,眺
31,明日のために今日を{ギセイ}にはしたくない。,犠牲
32,現代人は豊かな生活を{キョウジュ}している。,享受
33,昔の書物だが、今なお通用する{ドウサツ}を含む。,洞察
34,ある現象を一つの{テンケイ}的な特徴で表す。,典型
35,独裁者の横暴から立憲政治を{ヨウゴ}する。,擁護
36,地域社会での助け合いを{ショウレイ}する。,奨励
37,営々と{チクセキ}してきた富を戦争で失う。,蓄積
38,全部を捨ててしまいたい{ショウドウ}にかられる。,衝動
39,はしなくも本心が{ロテイ}してしまっている。,露呈
40,地球全体で資源が{コカツ}しつつあるのは事実だ。,枯渇
41,市場からの撤退という{キョウイ}にさらされる。,脅威
42,{センサイ}な感性で自然の美しさを詠み上げた。,繊細
43,多くの人のさまざまな思惑が{コウサク}する。,交錯
44,労働は時折否定的にとらえられ、{キヒ}される。,忌避
45,成功しても{ケンキョ}さを失ってはいけない。,謙虚
46,植物も生物という概念に{ホウセツ}される。,包摂
47,歴史的{ケイイ}も含めて事件を考え直す。,経緯
48,{イゼン}として問題は解決されないままである。,依然
49,塀によって外部からの侵入を{シャダン}する。,遮断
50,何事をするにも前例を{トウシュウ}する。,踏襲
51,通信インフラは社会発展の{キバン}である。,基盤
52,{バクゼン}とした「没落」の雰囲気を感じていた。,漠然
53,政治によって現実の戦争を{カイヒ}してきた。,回避
54,環境破壊により生態系も激変を{ヨギ}なくされた。,余儀
55,科学が万能であるかのように{サッカク}する。,錯覚
56,私たちはさまざまな制度に{コウソク}されている。,拘束
57,習慣は長い時間をかけて{ツチカワ}れてきた。,培
58,ねばり強く練習して弱点を{コクフク}した。,克服
59,{ガンチク}に富む文章を読んで心が震えた。,含蓄
60,革命が起こって王や貴族の{ケンイ}は失墜した。,権威
61,最新の電子機器が瞬く間に{フキュウ}する。,普及
62,形而上学は科学の世界から{クジョ}された。,駆逐
63,困難を乗り越えて初志を{カンテツ}する。,貫徹
64,私と兄は双子だが性格は{タイショウ}だ。,対照
65,富の無限の{ゾウショク}が起こると考えられる。,増殖
66,彼の{ソボク}な人柄にみんな好感を抱いている。,素朴
67,テレビ番組欄が新聞の最終面に{ケイサイ}される。,掲載
68,{センザイ}的な需要を掘り起こす努力をする。,潜在
69,内面の{ドウヨウ}を露わにすることなくしのいだ。,動揺
70,三つの勢力の{キンコウ}が保たれている。,均衡
71,わずかな{コンセキ}を手がかりに調査を進める。,痕跡
72,日本の社会を考える上で大事な{シテキ}をする。,指摘
73,{ジョウキ}を逸した行為は周囲に迷惑をかける。,常軌
74,新理論を{テイショウ}した研究者が注目を集める。,提唱
75,人のすることに{カンショウ}するべきではない。,干渉
76,社会の基準から大きく{イツダツ}している。,逸脱
77,青年の胸に強烈な{ショウゲキ}を与えた。,衝撃
78,{フダン}の努力を積み重ねて成功に至る。,不断
79,地主の{サクシュ}に苦しむ農民が一揆を起こす。,搾取
80,昔の友人のためにいろいろと{ベンギ}を図る。,便宜
81,{シュウトウ}に準備をした上で実行に移す。,周到
82,与謝蕪村は松尾芭蕉に{ヒッテキ}する俳人だ。,匹敵
83,普遍性を獲得したものが{ケッサク}となる。,傑作
84,日本各地に残る伝統芸能を{ケイショウ}する。,継承
85,事件についての{コクメイ}な記録が残っている。,克明
86,よいこととよくないことの{キハン}を示す。,規範
87,裁判に備えて{ショウコ}を集める必要がある。,証拠
88,時代{サクゴ}な考え方にとらわれている。,錯誤
89,双方の主張には依然大きな{ヘダ}たりがある。,隔
90,社会を支えてきた{チツジョ}を保持していく。,秩序
91,考える力や感性の発達が{ソガイ}される。,阻害
92,会社が事故の{バイショウ}責任を負っている。,賠償
93,歴史上、自由と強制は必ずしも{ムジュン}しない。,矛盾
94,科学技術がもたらす{オンケイ}を享受する。,恩恵
95,{ゲンミツ}な分析によって課題をあぶり出す。,厳密
96,失敗した者に対して{カンヨウ}な態度で接する。,寛大
97,彼女は{ヨクヨウ}をつけた独特な話し方をする。,抑揚
98,徳川氏は大名間の反目を{コウミョウ}に利用した。,巧妙
99,俗に染まらぬ{コウショウ}な精神が求められる。,高尚
100,目前の課題に{シバ}られて視野が狭くなった。,縛
101,紛争や戦争などの暴力の{レンサ}を断ち切る。,連鎖
102,苦労のかいあって仕事が{キドウ}に乗った。,軌道
103,破損した商品の{ダイタイ}物を受けとった。,代替
